start_station,end_station,size
42,132,95
43,220,92
220,49,89
9,149,88
17,43,82
175,43,79
157,130,69
132,220,69
19,55,69
132,42,68
57,220,67
135,49,67
220,43,64
135,177,63
57,184,63
57,43,62
43,175,62
135,182,61
175,132,61
149,130,61
138,155,60
49,220,60
177,43,60
79,189,59
126,57,58
132,43,58
220,132,58
43,13,57
175,37,57
149,9,57
