start_station,end_station,size
9,149,113
42,132,96
43,13,95
43,220,87
220,43,86
135,177,85
175,43,82
57,220,81
220,132,79
57,181,79
132,220,78
132,42,78
17,43,78
135,49,77
179,57,76
57,43,75
129,48,75
170,169,75
169,170,74
132,135,74
57,183,73
175,37,73
175,45,72
177,43,72
220,49,71
135,128,71
128,48,71
43,17,71
132,175,70
149,9,70
