,start_station,end_station,size,Unnamed: 0,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,index
47,90,86,202,128225,40.4250791,-3.6835613,-3.6933298,40.4185779,402,2021-06-15T16:00:00Z,128225
48,90,86,202,136371,40.4250878,-3.6837297,-3.6933298,40.4185779,444,2021-06-30T10:00:00Z,136371
49,90,86,202,136372,40.4250791,-3.6835613,-3.6933298,40.4185779,444,2021-06-30T10:00:00Z,136372
50,90,86,202,137776,40.4250878,-3.6837297,-3.6933298,40.4185779,772,2021-06-12T08:00:00Z,137776
51,90,86,202,137777,40.4250791,-3.6835613,-3.6933298,40.4185779,772,2021-06-12T08:00:00Z,137777
52,90,86,202,138305,40.4250878,-3.6837297,-3.6933298,40.4185779,366,2021-06-16T16:00:00Z,138305
53,90,86,202,138306,40.4250791,-3.6835613,-3.6933298,40.4185779,366,2021-06-16T16:00:00Z,138306
54,90,86,202,140330,40.4250878,-3.6837297,-3.6933298,40.4185779,425,2021-06-05T09:00:00Z,140330
55,90,86,202,140331,40.4250791,-3.6835613,-3.6933298,40.4185779,425,2021-06-05T09:00:00Z,140331
56,90,86,202,142094,40.4250878,-3.6837297,-3.6933298,40.4185779,663,2021-06-21T20:00:00Z,142094
57,90,86,202,142095,40.4250791,-3.6835613,-3.6933298,40.4185779,663,2021-06-21T20:00:00Z,142095
58,90,86,202,142885,40.4250878,-3.6837297,-3.6933298,40.4185779,519,2021-06-29T11:00:00Z,142885
59,90,86,202,142886,40.4250791,-3.6835613,-3.6933298,40.4185779,519,2021-06-29T11:00:00Z,142886
60,90,86,202,148984,40.4250878,-3.6837297,-3.6933298,40.4185779,569,2021-06-25T13:00:00Z,148984
61,90,86,202,148985,40.4250791,-3.6835613,-3.6933298,40.4185779,569,2021-06-25T13:00:00Z,148985
62,90,86,202,149758,40.4250878,-3.6837297,-3.6933298,40.4185779,512,2021-06-02T18:00:00Z,149758
63,90,86,202,149759,40.4250791,-3.6835613,-3.6933298,40.4185779,512,2021-06-02T18:00:00Z,149759
64,90,86,202,154999,40.4250878,-3.6837297,-3.6933298,40.4185779,431,2021-06-21T12:00:00Z,154999
65,90,86,202,155000,40.4250791,-3.6835613,-3.6933298,40.4185779,431,2021-06-21T12:00:00Z,155000
66,90,86,202,156515,40.4250878,-3.6837297,-3.6933298,40.4185779,643,2021-06-04T15:00:00Z,156515
67,90,86,202,156516,40.4250791,-3.6835613,-3.6933298,40.4185779,643,2021-06-04T15:00:00Z,156516
68,90,86,202,157655,40.4250878,-3.6837297,-3.6933298,40.4185779,384,2021-06-14T12:00:00Z,157655
69,90,86,202,157656,40.4250791,-3.6835613,-3.6933298,40.4185779,384,2021-06-14T12:00:00Z,157656
70,90,86,202,162176,40.4250878,-3.6837297,-3.6933298,40.4185779,2315,2021-06-25T14:00:00Z,162176
71,90,86,202,162177,40.4250791,-3.6835613,-3.6933298,40.4185779,2315,2021-06-25T14:00:00Z,162177
72,90,86,202,165976,40.4250878,-3.6837297,-3.6933298,40.4185779,438,2021-06-29T17:00:00Z,165976
73,90,86,202,165977,40.4250791,-3.6835613,-3.6933298,40.4185779,438,2021-06-29T17:00:00Z,165977
74,90,86,202,167182,40.4250878,-3.6837297,-3.6933298,40.4185779,419,2021-06-10T12:00:00Z,167182
75,90,86,202,167183,40.4250791,-3.6835613,-3.6933298,40.4185779,419,2021-06-10T12:00:00Z,167183
76,90,86,202,169767,40.4250878,-3.6837297,-3.6933298,40.4185779,450,2021-06-03T17:00:00Z,169767
77,90,86,202,169768,40.4250791,-3.6835613,-3.6933298,40.4185779,450,2021-06-03T17:00:00Z,169768
78,90,86,202,180026,40.4250878,-3.6837297,-3.6933298,40.4185779,404,2021-06-09T12:00:00Z,180026
79,90,86,202,180027,40.4250791,-3.6835613,-3.6933298,40.4185779,404,2021-06-09T12:00:00Z,180027
80,90,86,202,186088,40.4250878,-3.6837297,-3.6933298,40.4185779,529,2021-06-03T15:00:00Z,186088
81,90,86,202,186089,40.4250791,-3.6835613,-3.6933298,40.4185779,529,2021-06-03T15:00:00Z,186089
82,90,86,202,186823,40.4250878,-3.6837297,-3.6933298,40.4185779,644,2021-06-09T19:00:00Z,186823
83,90,86,202,186824,40.4250791,-3.6835613,-3.6933298,40.4185779,644,2021-06-09T19:00:00Z,186824
84,90,86,202,188296,40.4250878,-3.6837297,-3.6933298,40.4185779,440,2021-06-23T15:00:00Z,188296
85,90,86,202,188297,40.4250791,-3.6835613,-3.6933298,40.4185779,440,2021-06-23T15:00:00Z,188297
86,90,86,202,191611,40.4250878,-3.6837297,-3.6933298,40.4185779,521,2021-06-23T16:00:00Z,191611
87,90,86,202,191612,40.4250791,-3.6835613,-3.6933298,40.4185779,521,2021-06-23T16:00:00Z,191612
88,90,86,202,199395,40.4250878,-3.6837297,-3.6933298,40.4185779,431,2021-06-04T12:00:00Z,199395
89,90,86,202,199396,40.4250791,-3.6835613,-3.6933298,40.4185779,431,2021-06-04T12:00:00Z,199396
90,90,86,202,199679,40.4250878,-3.6837297,-3.6933298,40.4185779,416,2021-06-07T08:00:00Z,199679
91,90,86,202,199680,40.4250791,-3.6835613,-3.6933298,40.4185779,416,2021-06-07T08:00:00Z,199680
92,90,86,202,200569,40.4250878,-3.6837297,-3.6933298,40.4185779,590,2021-06-14T09:00:00Z,200569
93,90,86,202,200570,40.4250791,-3.6835613,-3.6933298,40.4185779,590,2021-06-14T09:00:00Z,200570
