,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time
0,90,180,17,511,511,40.4250878,-3.6837297,-3.6759244,40.3941252,605,2020-04-22T13:00:00Z
1,90,180,17,714,714,40.4250878,-3.6837297,-3.6759244,40.3941252,525,2020-04-22T21:00:00Z
2,90,180,17,1265,1265,40.4250878,-3.6837297,-3.6759244,40.3941252,672,2020-04-23T13:00:00Z
3,90,180,17,1562,1562,40.4250878,-3.6837297,-3.6759244,40.3941252,614,2020-04-23T21:00:00Z
4,90,180,17,2241,2241,40.4250878,-3.6837297,-3.6759244,40.3941252,661,2020-04-24T13:00:00Z
5,90,180,17,2654,2654,40.4250878,-3.6837297,-3.6759244,40.3941252,535,2020-04-24T21:00:00Z
6,90,180,17,3299,3299,40.4250878,-3.6837297,-3.6759244,40.3941252,760,2020-04-25T21:00:00Z
7,90,180,17,3670,3670,40.4250878,-3.6837297,-3.6759244,40.3941252,537,2020-04-26T13:00:00Z
8,90,180,17,3878,3878,40.4250878,-3.6837297,-3.6759244,40.3941252,547,2020-04-26T20:00:00Z
9,90,180,17,4652,4652,40.4250878,-3.6837297,-3.6759244,40.3941252,740,2020-04-27T13:00:00Z
10,90,180,17,5350,5350,40.4250878,-3.6837297,-3.6759244,40.3941252,658,2020-04-28T13:00:00Z
11,90,180,17,6453,6453,40.4250878,-3.6837297,-3.6759244,40.3941252,765,2020-04-29T20:00:00Z
12,90,180,17,7883,7883,40.4250878,-3.6837297,-3.6759244,40.3941252,605,2020-04-27T21:00:00Z
13,90,180,17,8610,8610,40.4250878,-3.6837297,-3.6759244,40.3941252,598,2020-04-28T20:00:00Z
14,90,180,17,9192,9192,40.4250878,-3.6837297,-3.6759244,40.3941252,694,2020-04-29T13:00:00Z
15,90,180,17,9994,9994,40.4250878,-3.6837297,-3.6759244,40.3941252,648,2020-04-30T13:00:00Z
16,90,180,17,10282,10282,40.4250878,-3.6837297,-3.6759244,40.3941252,589,2020-04-30T21:00:00Z
17,13,160,16,445,445,40.4273652,-3.7104727,-3.6766176,40.4571995,466,2020-04-22T12:00:00Z
18,13,160,16,757,757,40.4273652,-3.7104727,-3.6766176,40.4571995,468,2020-04-23T05:00:00Z
19,13,160,16,825,825,40.4273652,-3.7104727,-3.6766176,40.4571995,396,2020-04-23T06:00:00Z
20,13,160,16,1125,1125,40.4273652,-3.7104727,-3.6766176,40.4571995,344,2020-04-23T12:00:00Z
21,13,160,16,1615,1615,40.4273652,-3.7104727,-3.6766176,40.4571995,476,2020-04-24T05:00:00Z
22,13,160,16,1698,1698,40.4273652,-3.7104727,-3.6766176,40.4571995,445,2020-04-24T06:00:00Z
23,13,160,16,2770,2770,40.4273652,-3.7104727,-3.6766176,40.4571995,460,2020-04-25T06:00:00Z
24,13,160,16,3971,3971,40.4273652,-3.7104727,-3.6766176,40.4571995,514,2020-04-27T05:00:00Z
25,13,160,16,6593,6593,40.4273652,-3.7104727,-3.6766176,40.4571995,497,2020-04-30T06:00:00Z
26,13,160,16,7621,7621,40.4273652,-3.7104727,-3.6766176,40.4571995,411,2020-04-27T12:00:00Z
27,13,160,16,7647,7647,40.4273652,-3.7104727,-3.6766176,40.4571995,498,2020-04-27T12:00:00Z
