,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time
0,9,149,100,173,173,40.4156134,-3.7094093,-3.6878512,40.4498448,545,2020-03-01T00:00:00Z
1,9,149,100,500,500,40.4156134,-3.7094093,-3.6878512,40.4498448,576,2020-03-01T01:00:00Z
2,9,149,100,606,606,40.4156134,-3.7094093,-3.6878512,40.4498448,6385,2020-03-01T01:00:00Z
3,9,149,100,809,809,40.4156134,-3.7094093,-3.6878512,40.4498448,14637,2020-03-01T02:00:00Z
4,9,149,100,1915,1915,40.4156134,-3.7094093,-3.6878512,40.4498448,445,2020-03-01T10:00:00Z
5,9,149,100,4213,4213,40.4156134,-3.7094093,-3.6878512,40.4498448,537,2020-03-02T07:00:00Z
6,9,149,100,5125,5125,40.4156134,-3.7094093,-3.6878512,40.4498448,623,2020-03-06T23:00:00Z
7,9,149,100,5470,5470,40.4156134,-3.7094093,-3.6878512,40.4498448,881,2020-03-09T12:00:00Z
8,9,149,100,5512,5512,40.4156134,-3.7094093,-3.6878512,40.4498448,627,2020-03-09T15:00:00Z
9,9,149,100,5584,5584,40.4156134,-3.7094093,-3.6878512,40.4498448,412,2020-03-10T02:00:00Z
10,9,149,100,6089,6089,40.4156134,-3.7094093,-3.6878512,40.4498448,603,2020-03-12T15:00:00Z
11,9,149,100,6415,6415,40.4156134,-3.7094093,-3.6878512,40.4498448,2757,2020-03-02T08:00:00Z
12,9,149,100,8566,8566,40.4156134,-3.7094093,-3.6878512,40.4498448,523,2020-03-02T17:00:00Z
13,9,149,100,9944,9944,40.4156134,-3.7094093,-3.6878512,40.4498448,583,2020-03-10T07:00:00Z
14,9,149,100,10733,10733,40.4156134,-3.7094093,-3.6878512,40.4498448,3110,2020-03-02T08:00:00Z
15,9,149,100,11013,11013,40.4156134,-3.7094093,-3.6878512,40.4498448,575,2020-03-03T20:00:00Z
16,9,149,100,13014,13014,40.4156134,-3.7094093,-3.6878512,40.4498448,570,2020-03-03T07:00:00Z
17,9,149,100,15294,15294,40.4156134,-3.7094093,-3.6878512,40.4498448,661,2020-03-03T17:00:00Z
18,9,149,100,15740,15740,40.4156134,-3.7094093,-3.6878512,40.4498448,733,2020-03-05T21:00:00Z
19,9,149,100,17284,17284,40.4156134,-3.7094093,-3.6878512,40.4498448,632,2020-03-02T19:00:00Z
20,9,149,100,17812,17812,40.4156134,-3.7094093,-3.6878512,40.4498448,755,2020-03-05T14:00:00Z
21,9,149,100,18254,18254,40.4156134,-3.7094093,-3.6878512,40.4498448,610,2020-03-07T23:00:00Z
22,9,149,100,18908,18908,40.4156134,-3.7094093,-3.6878512,40.4498448,734,2020-03-11T15:00:00Z
23,9,149,100,20931,20931,40.4156134,-3.7094093,-3.6878512,40.4498448,616,2020-03-10T09:00:00Z
24,9,149,100,21625,21625,40.4156134,-3.7094093,-3.6878512,40.4498448,1293,2020-03-01T16:00:00Z
25,9,149,100,21918,21918,40.4156134,-3.7094093,-3.6878512,40.4498448,554,2020-03-03T15:00:00Z
26,9,149,100,24592,24592,40.4156134,-3.7094093,-3.6878512,40.4498448,554,2020-03-05T22:00:00Z
27,9,149,100,26677,26677,40.4156134,-3.7094093,-3.6878512,40.4498448,564,2020-03-05T15:00:00Z
28,9,149,100,27694,27694,40.4156134,-3.7094093,-3.6878512,40.4498448,758,2020-03-11T13:00:00Z
29,9,149,100,29506,29506,40.4156134,-3.7094093,-3.6878512,40.4498448,558,2020-03-09T17:00:00Z
30,9,149,100,29969,29969,40.4156134,-3.7094093,-3.6878512,40.4498448,467,2020-03-11T20:00:00Z
31,9,149,100,30078,30078,40.4156134,-3.7094093,-3.6878512,40.4498448,652,2020-03-12T17:00:00Z
32,9,149,100,31749,31749,40.4156134,-3.7094093,-3.6878512,40.4498448,514,2020-03-10T01:00:00Z
33,9,149,100,33300,33300,40.4156134,-3.7094093,-3.6878512,40.4498448,673,2020-03-05T19:00:00Z
34,9,149,100,33536,33536,40.4156134,-3.7094093,-3.6878512,40.4498448,553,2020-03-07T01:00:00Z
35,9,149,100,37046,37046,40.4156134,-3.7094093,-3.6878512,40.4498448,588,2020-03-02T19:00:00Z
36,9,149,100,39957,39957,40.4156134,-3.7094093,-3.6878512,40.4498448,549,2020-03-06T07:00:00Z
37,9,149,100,40686,40686,40.4156134,-3.7094093,-3.6878512,40.4498448,593,2020-03-10T15:00:00Z
38,9,149,100,40726,40726,40.4156134,-3.7094093,-3.6878512,40.4498448,668,2020-03-10T18:00:00Z
39,9,149,100,42006,42006,40.4156134,-3.7094093,-3.6878512,40.4498448,518,2020-03-05T17:00:00Z
40,9,149,100,44808,44808,40.4156134,-3.7094093,-3.6878512,40.4498448,589,2020-03-09T17:00:00Z
41,9,149,100,47375,47375,40.4156134,-3.7094093,-3.6878512,40.4498448,791,2020-03-11T15:00:00Z
42,9,149,100,47811,47811,40.4156134,-3.7094093,-3.6878512,40.4498448,788,2020-03-02T08:00:00Z
43,9,149,100,49180,49180,40.4156134,-3.7094093,-3.6878512,40.4498448,602,2020-03-09T19:00:00Z
44,9,149,100,51805,51805,40.4156134,-3.7094093,-3.6878512,40.4498448,526,2020-03-11T19:00:00Z
45,9,149,100,52736,52736,40.4156134,-3.7094093,-3.6878512,40.4498448,696,2020-03-04T17:00:00Z
46,9,149,100,53815,53815,40.4156134,-3.7094093,-3.6878512,40.4498448,610,2020-03-10T19:00:00Z
47,9,149,100,53975,53975,40.4156134,-3.7094093,-3.6878512,40.4498448,630,2020-03-11T17:00:00Z
48,9,149,100,59909,59909,40.4156134,-3.7094093,-3.6878512,40.4498448,530,2020-03-07T16:00:00Z
49,9,149,100,62253,62253,40.4156134,-3.7094093,-3.6878512,40.4498448,591,2020-03-09T07:00:00Z
