,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time
0,9,149,106,2606,2606,40.4156134,-3.7094093,-3.6878512,40.4498448,633,2020-12-01T09:00:00Z
1,9,149,106,6936,6936,40.4156134,-3.7094093,-3.6878512,40.4498448,589,2020-12-11T13:00:00Z
2,9,149,106,10245,10245,40.4156134,-3.7094093,-3.6878512,40.4498448,1094,2020-12-02T12:00:00Z
3,9,149,106,10291,10291,40.4156134,-3.7094093,-3.6878512,40.4498448,506,2020-12-02T22:00:00Z
4,9,149,106,12403,12403,40.4156134,-3.7094093,-3.6878512,40.4498448,474,2020-12-04T20:00:00Z
5,9,149,106,13857,13857,40.4156134,-3.7094093,-3.6878512,40.4498448,459,2020-12-26T15:00:00Z
6,9,149,106,20904,20904,40.4156134,-3.7094093,-3.6878512,40.4498448,517,2020-12-11T23:00:00Z
7,9,149,106,23207,23207,40.4156134,-3.7094093,-3.6878512,40.4498448,1141,2020-12-14T21:00:00Z
8,9,149,106,32209,32209,40.4156134,-3.7094093,-3.6878512,40.4498448,873,2020-12-05T16:00:00Z
9,9,149,106,32926,32926,40.4156134,-3.7094093,-3.6878512,40.4498448,902,2020-12-15T19:00:00Z
10,9,149,106,33292,33292,40.4156134,-3.7094093,-3.6878512,40.4498448,4038,2020-12-21T13:00:00Z
11,9,149,106,36070,36070,40.4156134,-3.7094093,-3.6878512,40.4498448,677,2020-12-04T19:00:00Z
12,9,149,106,36337,36337,40.4156134,-3.7094093,-3.6878512,40.4498448,767,2020-12-09T14:00:00Z
13,9,149,106,38132,38132,40.4156134,-3.7094093,-3.6878512,40.4498448,431,2020-12-06T15:00:00Z
14,9,149,106,38613,38613,40.4156134,-3.7094093,-3.6878512,40.4498448,801,2020-12-13T12:00:00Z
15,9,149,106,39385,39385,40.4156134,-3.7094093,-3.6878512,40.4498448,722,2020-12-23T10:00:00Z
16,9,149,106,41062,41062,40.4156134,-3.7094093,-3.6878512,40.4498448,674,2020-12-18T18:00:00Z
17,9,149,106,41538,41538,40.4156134,-3.7094093,-3.6878512,40.4498448,3110,2020-12-27T11:00:00Z
18,9,149,106,45167,45167,40.4156134,-3.7094093,-3.6878512,40.4498448,549,2020-12-20T16:00:00Z
19,9,149,106,46912,46912,40.4156134,-3.7094093,-3.6878512,40.4498448,608,2020-12-17T13:00:00Z
20,9,149,106,48592,48592,40.4156134,-3.7094093,-3.6878512,40.4498448,2928,2020-12-12T14:00:00Z
21,9,149,106,50522,50522,40.4156134,-3.7094093,-3.6878512,40.4498448,615,2020-12-11T22:00:00Z
22,9,149,106,53312,53312,40.4156134,-3.7094093,-3.6878512,40.4498448,696,2020-12-23T17:00:00Z
23,9,149,106,55822,55822,40.4156134,-3.7094093,-3.6878512,40.4498448,665,2020-12-03T13:00:00Z
24,9,149,106,57759,57759,40.4156134,-3.7094093,-3.6878512,40.4498448,642,2020-12-02T20:00:00Z
25,9,149,106,59198,59198,40.4156134,-3.7094093,-3.6878512,40.4498448,1018,2020-12-22T18:00:00Z
26,9,149,106,59581,59581,40.4156134,-3.7094093,-3.6878512,40.4498448,846,2020-12-31T12:00:00Z
27,9,149,106,62245,62245,40.4156134,-3.7094093,-3.6878512,40.4498448,770,2020-12-11T15:00:00Z
28,9,149,106,64183,64183,40.4156134,-3.7094093,-3.6878512,40.4498448,643,2020-12-11T12:00:00Z
29,9,149,106,64814,64814,40.4156134,-3.7094093,-3.6878512,40.4498448,543,2020-12-19T10:00:00Z
30,9,149,106,67569,67569,40.4156134,-3.7094093,-3.6878512,40.4498448,475,2020-12-02T16:00:00Z
31,9,149,106,68122,68122,40.4156134,-3.7094093,-3.6878512,40.4498448,463,2020-12-10T22:00:00Z
32,9,149,106,68588,68588,40.4156134,-3.7094093,-3.6878512,40.4498448,496,2020-12-17T08:00:00Z
33,9,149,106,68605,68605,40.4156134,-3.7094093,-3.6878512,40.4498448,678,2020-12-17T13:00:00Z
34,9,149,106,68891,68891,40.4156134,-3.7094093,-3.6878512,40.4498448,604,2020-12-21T13:00:00Z
35,9,149,106,69387,69387,40.4156134,-3.7094093,-3.6878512,40.4498448,602,2020-12-31T12:00:00Z
36,9,149,106,75204,75204,40.4156134,-3.7094093,-3.6878512,40.4498448,4554,2020-12-28T13:00:00Z
37,9,149,106,77252,77252,40.4156134,-3.7094093,-3.6878512,40.4498448,461,2020-12-29T15:00:00Z
38,9,149,106,78944,78944,40.4156134,-3.7094093,-3.6878512,40.4498448,790,2020-12-22T18:00:00Z
39,9,149,106,79356,79356,40.4156134,-3.7094093,-3.6878512,40.4498448,596,2020-12-01T14:00:00Z
40,9,149,106,82490,82490,40.4156134,-3.7094093,-3.6878512,40.4498448,714,2020-12-16T07:00:00Z
41,9,149,106,89730,89730,40.4156134,-3.7094093,-3.6878512,40.4498448,898,2020-12-08T12:00:00Z
42,9,149,106,90176,90176,40.4156134,-3.7094093,-3.6878512,40.4498448,782,2020-12-14T12:00:00Z
43,9,149,106,97348,97348,40.4156134,-3.7094093,-3.6878512,40.4498448,796,2020-12-03T12:00:00Z
44,9,149,106,109481,109481,40.4156134,-3.7094093,-3.6878512,40.4498448,803,2020-12-10T13:00:00Z
45,9,149,106,114124,114124,40.4156134,-3.7094093,-3.6878512,40.4498448,800,2020-12-17T19:00:00Z
46,9,149,106,114543,114543,40.4156134,-3.7094093,-3.6878512,40.4498448,734,2020-12-23T19:00:00Z
47,9,149,106,117662,117662,40.4156134,-3.7094093,-3.6878512,40.4498448,716,2020-12-12T20:00:00Z
48,9,149,106,117782,117782,40.4156134,-3.7094093,-3.6878512,40.4498448,695,2020-12-14T16:00:00Z
49,9,149,106,120299,120299,40.4156134,-3.7094093,-3.6878512,40.4498448,732,2020-12-22T14:00:00Z
50,9,149,106,121867,121867,40.4156134,-3.7094093,-3.6878512,40.4498448,540,2020-12-15T20:00:00Z
51,9,149,106,135630,135630,40.4156134,-3.7094093,-3.6878512,40.4498448,1056,2020-12-14T23:00:00Z
52,9,149,106,135647,135647,40.4156134,-3.7094093,-3.6878512,40.4498448,634,2020-12-15T09:00:00Z
53,9,149,106,141134,141134,40.4156134,-3.7094093,-3.6878512,40.4498448,574,2020-12-09T15:00:00Z
54,9,149,106,142159,142159,40.4156134,-3.7094093,-3.6878512,40.4498448,696,2020-12-23T13:00:00Z
55,9,149,106,142813,142813,40.4156134,-3.7094093,-3.6878512,40.4498448,1122,2020-12-04T17:00:00Z
56,9,149,106,144623,144623,40.4156134,-3.7094093,-3.6878512,40.4498448,637,2020-12-01T18:00:00Z
57,9,149,106,146160,146160,40.4156134,-3.7094093,-3.6878512,40.4498448,815,2020-12-22T10:00:00Z
58,9,149,106,146197,146197,40.4156134,-3.7094093,-3.6878512,40.4498448,520,2020-12-22T21:00:00Z
59,9,149,106,150284,150284,40.4156134,-3.7094093,-3.6878512,40.4498448,458,2020-12-24T16:00:00Z
60,9,149,106,151571,151571,40.4156134,-3.7094093,-3.6878512,40.4498448,605,2020-12-14T19:00:00Z
61,9,149,106,153405,153405,40.4156134,-3.7094093,-3.6878512,40.4498448,424,2020-12-12T15:00:00Z
62,9,149,106,155374,155374,40.4156134,-3.7094093,-3.6878512,40.4498448,709,2020-12-12T23:00:00Z
63,9,149,106,156700,156700,40.4156134,-3.7094093,-3.6878512,40.4498448,530,2020-12-03T15:00:00Z
64,9,149,106,159313,159313,40.4156134,-3.7094093,-3.6878512,40.4498448,592,2020-12-12T22:00:00Z
65,9,149,106,161836,161836,40.4156134,-3.7094093,-3.6878512,40.4498448,803,2020-12-18T15:00:00Z
66,9,149,106,168510,168510,40.4156134,-3.7094093,-3.6878512,40.4498448,571,2020-12-03T16:00:00Z
67,9,149,106,168897,168897,40.4156134,-3.7094093,-3.6878512,40.4498448,539,2020-12-09T15:00:00Z
68,9,149,106,171100,171100,40.4156134,-3.7094093,-3.6878512,40.4498448,855,2020-12-12T15:00:00Z
69,9,149,106,176025,176025,40.4156134,-3.7094093,-3.6878512,40.4498448,461,2020-12-27T15:00:00Z
70,9,149,106,176816,176816,40.4156134,-3.7094093,-3.6878512,40.4498448,939,2020-12-09T14:00:00Z
