start_station,end_station,size
43,220,67
115,83,41
42,132,41
43,135,40
220,132,39
175,43,39
178,133,38
83,189,37
9,149,37
130,149,37
220,43,35
175,174,35
57,43,35
57,181,35
135,49,35
79,189,34
224,56,34
17,43,34
220,49,34
132,220,34
224,43,34
189,83,33
128,48,33
181,134,33
57,220,33
57,19,33
16,43,33
43,224,33
27,41,33
129,57,33
