start_station,end_station,size
90,86,202
90,78,194
90,80,180
86,90,156
90,83,152
78,90,146
90,79,140
73,90,136
1,90,136
132,231,127
161,145,120
57,38,117
128,48,116
9,149,115
231,132,115
161,143,114
128,57,112
145,161,110
160,161,110
186,128,108
65,1,106
175,43,104
43,220,104
90,1,104
43,132,103
175,174,103
57,220,103
220,57,103
84,90,102
43,13,102
