start_station,end_station,size
9,149,151
132,175,115
43,220,111
132,220,111
175,43,105
132,231,105
220,43,103
208,149,102
135,220,102
149,9,99
43,13,98
52,135,95
57,220,95
57,135,95
90,79,93
90,86,92
220,132,91
231,132,91
57,183,90
175,45,88
220,49,88
130,149,87
149,208,87
220,135,87
132,43,86
175,174,86
57,43,86
156,208,85
43,17,84
13,43,84
