,start_station,end_station,size,start_station_Latitud,start_station_Longitud,mes
98,132,132,341,40.4463889,-3.7035911,2021/1/01
99,132,132,341,40.4463889,-3.7035911,2021/1/01
100,132,132,341,40.4463889,-3.7035911,2021/1/01
101,132,132,341,40.4463889,-3.7035911,2021/1/01
102,132,132,341,40.4463889,-3.7035911,2021/1/01
103,132,132,341,40.4463889,-3.7035911,2021/1/01
104,132,132,341,40.4463889,-3.7035911,2021/1/01
105,132,132,341,40.4463889,-3.7035911,2021/1/01
106,132,132,341,40.4463889,-3.7035911,2021/1/01
107,132,132,341,40.4463889,-3.7035911,2021/1/01
108,132,132,341,40.4463889,-3.7035911,2021/1/01
109,132,132,341,40.4463889,-3.7035911,2021/1/01
110,132,132,341,40.4463889,-3.7035911,2021/1/01
111,132,132,341,40.4463889,-3.7035911,2021/1/01
112,132,132,341,40.4463889,-3.7035911,2021/1/01
113,132,132,341,40.4463889,-3.7035911,2021/1/01
114,132,132,341,40.4463889,-3.7035911,2021/1/01
115,132,132,341,40.4463889,-3.7035911,2021/1/01
116,132,132,341,40.4463889,-3.7035911,2021/1/01
117,132,132,341,40.4463889,-3.7035911,2021/1/01
118,132,132,341,40.4463889,-3.7035911,2021/1/01
119,132,132,341,40.4463889,-3.7035911,2021/1/01
120,132,132,341,40.4463889,-3.7035911,2021/1/01
121,132,132,341,40.4463889,-3.7035911,2021/1/01
122,132,132,341,40.4463889,-3.7035911,2021/1/01
123,132,132,341,40.4463889,-3.7035911,2021/1/01
124,132,132,341,40.4463889,-3.7035911,2021/1/01
125,132,132,341,40.4463889,-3.7035911,2021/1/01
126,132,132,341,40.4463889,-3.7035911,2021/1/01
127,132,132,341,40.4463889,-3.7035911,2021/1/01
128,132,132,341,40.4463889,-3.7035911,2021/1/01
129,132,132,341,40.4463889,-3.7035911,2021/1/01
130,132,132,341,40.4463889,-3.7035911,2021/1/01
131,132,132,341,40.4463889,-3.7035911,2021/1/01
132,132,132,341,40.4463889,-3.7035911,2021/1/01
133,132,132,341,40.4463889,-3.7035911,2021/1/01
