,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,mes
0,9,149,235,2852,2852,40.4156134,-3.7094093,-3.6878512,40.4498448,664,2020-02-01T12:00:00Z,2020/5/01
1,9,149,235,3845,3845,40.4156134,-3.7094093,-3.6878512,40.4498448,560,2020-02-01T13:00:00Z,2020/5/01
2,9,149,235,6330,6330,40.4156134,-3.7094093,-3.6878512,40.4498448,482,2020-02-24T22:00:00Z,2020/5/01
3,9,149,235,6521,6521,40.4156134,-3.7094093,-3.6878512,40.4498448,695,2020-02-26T19:00:00Z,2020/5/01
4,9,149,235,7975,7975,40.4156134,-3.7094093,-3.6878512,40.4498448,569,2020-02-15T10:00:00Z,2020/5/01
5,9,149,235,8767,8767,40.4156134,-3.7094093,-3.6878512,40.4498448,557,2020-02-24T12:00:00Z,2020/5/01
6,9,149,235,8782,8782,40.4156134,-3.7094093,-3.6878512,40.4498448,571,2020-02-24T15:00:00Z,2020/5/01
7,9,149,235,10096,10096,40.4156134,-3.7094093,-3.6878512,40.4498448,589,2020-02-11T07:00:00Z,2020/5/01
8,9,149,235,10830,10830,40.4156134,-3.7094093,-3.6878512,40.4498448,715,2020-02-18T22:00:00Z,2020/5/01
9,9,149,235,11116,11116,40.4156134,-3.7094093,-3.6878512,40.4498448,624,2020-02-21T14:00:00Z,2020/5/01
10,9,149,235,15886,15886,40.4156134,-3.7094093,-3.6878512,40.4498448,704,2020-02-18T15:00:00Z,2020/5/01
11,9,149,235,17327,17327,40.4156134,-3.7094093,-3.6878512,40.4498448,687,2020-02-06T15:00:00Z,2020/5/01
12,9,149,235,17528,17528,40.4156134,-3.7094093,-3.6878512,40.4498448,500,2020-02-08T19:00:00Z,2020/5/01
13,9,149,235,19136,19136,40.4156134,-3.7094093,-3.6878512,40.4498448,633,2020-02-25T17:00:00Z,2020/5/01
14,9,149,235,19147,19147,40.4156134,-3.7094093,-3.6878512,40.4498448,688,2020-02-25T19:00:00Z,2020/5/01
15,9,149,235,21103,21103,40.4156134,-3.7094093,-3.6878512,40.4498448,589,2020-02-19T07:00:00Z,2020/5/01
16,9,149,235,23135,23135,40.4156134,-3.7094093,-3.6878512,40.4498448,478,2020-02-13T17:00:00Z,2020/5/01
17,9,149,235,26045,26045,40.4156134,-3.7094093,-3.6878512,40.4498448,585,2020-02-17T17:00:00Z,2020/5/01
18,9,149,235,26137,26137,40.4156134,-3.7094093,-3.6878512,40.4498448,702,2020-02-18T15:00:00Z,2020/5/01
19,9,149,235,27723,27723,40.4156134,-3.7094093,-3.6878512,40.4498448,446,2020-02-06T20:00:00Z,2020/5/01
20,9,149,235,28755,28755,40.4156134,-3.7094093,-3.6878512,40.4498448,526,2020-02-18T18:00:00Z,2020/5/01
21,9,149,235,28825,28825,40.4156134,-3.7094093,-3.6878512,40.4498448,550,2020-02-19T15:00:00Z,2020/5/01
22,9,149,235,28938,28938,40.4156134,-3.7094093,-3.6878512,40.4498448,539,2020-02-20T20:00:00Z,2020/5/01
23,9,149,235,29006,29006,40.4156134,-3.7094093,-3.6878512,40.4498448,531,2020-02-21T15:00:00Z,2020/5/01
24,9,149,235,29345,29345,40.4156134,-3.7094093,-3.6878512,40.4498448,581,2020-02-25T17:00:00Z,2020/5/01
25,9,149,235,31741,31741,40.4156134,-3.7094093,-3.6878512,40.4498448,762,2020-02-24T20:00:00Z,2020/5/01
26,9,149,235,32613,32613,40.4156134,-3.7094093,-3.6878512,40.4498448,448,2020-02-05T22:00:00Z,2020/5/01
27,9,149,235,33428,33428,40.4156134,-3.7094093,-3.6878512,40.4498448,639,2020-02-14T17:00:00Z,2020/5/01
28,9,149,235,33878,33878,40.4156134,-3.7094093,-3.6878512,40.4498448,470,2020-02-20T07:00:00Z,2020/5/01
29,9,149,235,34261,34261,40.4156134,-3.7094093,-3.6878512,40.4498448,664,2020-02-24T17:00:00Z,2020/5/01
30,9,149,235,34759,34759,40.4156134,-3.7094093,-3.6878512,40.4498448,524,2020-02-28T20:00:00Z,2020/5/01
31,9,149,235,37064,37064,40.4156134,-3.7094093,-3.6878512,40.4498448,769,2020-02-26T13:00:00Z,2020/5/01
32,9,149,235,38286,38286,40.4156134,-3.7094093,-3.6878512,40.4498448,751,2020-02-12T12:00:00Z,2020/5/01
33,9,149,235,39387,39387,40.4156134,-3.7094093,-3.6878512,40.4498448,553,2020-02-25T07:00:00Z,2020/5/01
34,9,149,235,39653,39653,40.4156134,-3.7094093,-3.6878512,40.4498448,547,2020-02-27T17:00:00Z,2020/5/01
35,9,149,235,40071,40071,40.4156134,-3.7094093,-3.6878512,40.4498448,590,2020-02-04T14:00:00Z,2020/5/01
36,9,149,235,41818,41818,40.4156134,-3.7094093,-3.6878512,40.4498448,592,2020-02-24T18:00:00Z,2020/5/01
37,9,149,235,43182,43182,40.4156134,-3.7094093,-3.6878512,40.4498448,483,2020-02-11T17:00:00Z,2020/5/01
38,9,149,235,43591,43591,40.4156134,-3.7094093,-3.6878512,40.4498448,497,2020-02-16T00:00:00Z,2020/5/01
39,9,149,235,48910,48910,40.4156134,-3.7094093,-3.6878512,40.4498448,639,2020-02-18T14:00:00Z,2020/5/01
40,9,149,235,49754,49754,40.4156134,-3.7094093,-3.6878512,40.4498448,516,2020-02-27T13:00:00Z,2020/5/01
