,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,mes
42,212,212,239,55607,55607,40.3981605,-3.7165313,-3.7165313,40.3981605,2751,2020-11-08T11:00:00Z,2020/10/01
43,212,212,239,56774,56774,40.3981605,-3.7165313,-3.7165313,40.3981605,1647,2020-11-21T21:00:00Z,2020/10/01
44,212,212,239,57208,57208,40.3981605,-3.7165313,-3.7165313,40.3981605,3171,2020-11-27T22:00:00Z,2020/10/01
45,212,212,239,59439,59439,40.3981605,-3.7165313,-3.7165313,40.3981605,4119,2020-11-25T19:00:00Z,2020/10/01
46,212,212,239,59978,59978,40.3981605,-3.7165313,-3.7165313,40.3981605,938,2020-11-04T12:00:00Z,2020/10/01
47,212,212,239,62647,62647,40.3981605,-3.7165313,-3.7165313,40.3981605,865,2020-11-09T22:00:00Z,2020/10/01
48,212,212,239,64221,64221,40.3981605,-3.7165313,-3.7165313,40.3981605,2415,2020-11-28T13:00:00Z,2020/10/01
49,212,212,239,64604,64604,40.3981605,-3.7165313,-3.7165313,40.3981605,783,2020-11-04T12:00:00Z,2020/10/01
50,212,212,239,65162,65162,40.3981605,-3.7165313,-3.7165313,40.3981605,996,2020-11-11T21:00:00Z,2020/10/01
51,212,212,239,66774,66774,40.3981605,-3.7165313,-3.7165313,40.3981605,1873,2020-11-01T19:00:00Z,2020/10/01
52,212,212,239,66778,66778,40.3981605,-3.7165313,-3.7165313,40.3981605,3846,2020-11-01T20:00:00Z,2020/10/01
53,212,212,239,67639,67639,40.3981605,-3.7165313,-3.7165313,40.3981605,1202,2020-11-13T16:00:00Z,2020/10/01
54,212,212,239,74050,74050,40.3981605,-3.7165313,-3.7165313,40.3981605,1105,2020-11-08T21:00:00Z,2020/10/01
55,212,212,239,74232,74232,40.3981605,-3.7165313,-3.7165313,40.3981605,1900,2020-11-11T11:00:00Z,2020/10/01
56,212,212,239,75279,75279,40.3981605,-3.7165313,-3.7165313,40.3981605,1243,2020-11-23T13:00:00Z,2020/10/01
57,212,212,239,76321,76321,40.3981605,-3.7165313,-3.7165313,40.3981605,6555,2020-11-08T15:00:00Z,2020/10/01
58,212,212,239,77833,77833,40.3981605,-3.7165313,-3.7165313,40.3981605,2609,2020-11-25T14:00:00Z,2020/10/01
