,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,mes
0,90,90,900,104,104,40.4250878,-3.6837297,-3.6835613,40.4250791,34,2020-10-01T01:00:00Z,2020/11/01
1,90,90,900,105,105,40.4250791,-3.6835613,-3.6835613,40.4250791,34,2020-10-01T01:00:00Z,2020/11/01
2,90,90,900,106,106,40.4250878,-3.6837297,-3.6837297,40.4250878,34,2020-10-01T01:00:00Z,2020/11/01
3,90,90,900,107,107,40.4250791,-3.6835613,-3.6837297,40.4250878,34,2020-10-01T01:00:00Z,2020/11/01
4,90,90,900,1491,1491,40.4250878,-3.6837297,-3.6835613,40.4250791,6,2020-10-01T06:00:00Z,2020/11/01
5,90,90,900,1492,1492,40.4250791,-3.6835613,-3.6835613,40.4250791,6,2020-10-01T06:00:00Z,2020/11/01
6,90,90,900,1493,1493,40.4250878,-3.6837297,-3.6837297,40.4250878,6,2020-10-01T06:00:00Z,2020/11/01
7,90,90,900,1494,1494,40.4250791,-3.6835613,-3.6837297,40.4250878,6,2020-10-01T06:00:00Z,2020/11/01
8,90,90,900,2167,2167,40.4250878,-3.6837297,-3.6835613,40.4250791,9,2020-10-01T07:00:00Z,2020/11/01
9,90,90,900,2168,2168,40.4250791,-3.6835613,-3.6835613,40.4250791,9,2020-10-01T07:00:00Z,2020/11/01
10,90,90,900,2169,2169,40.4250878,-3.6837297,-3.6837297,40.4250878,9,2020-10-01T07:00:00Z,2020/11/01
11,90,90,900,2170,2170,40.4250791,-3.6835613,-3.6837297,40.4250878,9,2020-10-01T07:00:00Z,2020/11/01
12,90,90,900,4013,4013,40.4250878,-3.6837297,-3.6835613,40.4250791,1204,2020-10-01T09:00:00Z,2020/11/01
13,90,90,900,4014,4014,40.4250791,-3.6835613,-3.6835613,40.4250791,1204,2020-10-01T09:00:00Z,2020/11/01
14,90,90,900,4015,4015,40.4250878,-3.6837297,-3.6837297,40.4250878,1204,2020-10-01T09:00:00Z,2020/11/01
15,90,90,900,4016,4016,40.4250791,-3.6835613,-3.6837297,40.4250878,1204,2020-10-01T09:00:00Z,2020/11/01
16,90,90,900,4489,4489,40.4250878,-3.6837297,-3.6835613,40.4250791,4558,2020-10-01T09:00:00Z,2020/11/01
17,90,90,900,4490,4490,40.4250791,-3.6835613,-3.6835613,40.4250791,4558,2020-10-01T09:00:00Z,2020/11/01
18,90,90,900,4491,4491,40.4250878,-3.6837297,-3.6837297,40.4250878,4558,2020-10-01T09:00:00Z,2020/11/01
19,90,90,900,4492,4492,40.4250791,-3.6835613,-3.6837297,40.4250878,4558,2020-10-01T09:00:00Z,2020/11/01
