,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,mes
0,135,135,354,498,498,40.4414845,-3.6928901,-3.6928901,40.4414845,39,2020-07-01T05:00:00Z,2020/6/01
1,135,135,354,3866,3866,40.4414845,-3.6928901,-3.6928901,40.4414845,3115,2020-07-01T09:00:00Z,2020/6/01
2,135,135,354,9163,9163,40.4414845,-3.6928901,-3.6928901,40.4414845,14,2020-07-01T15:00:00Z,2020/6/01
3,135,135,354,11343,11343,40.4414845,-3.6928901,-3.6928901,40.4414845,311,2020-07-01T17:00:00Z,2020/6/01
4,135,135,354,14044,14044,40.4414845,-3.6928901,-3.6928901,40.4414845,3849,2020-07-01T19:00:00Z,2020/6/01
5,135,135,354,15503,15503,40.4414845,-3.6928901,-3.6928901,40.4414845,11,2020-07-01T22:00:00Z,2020/6/01
6,135,135,354,16309,16309,40.4414845,-3.6928901,-3.6928901,40.4414845,1282,2020-07-01T23:00:00Z,2020/6/01
7,135,135,354,16627,16627,40.4414845,-3.6928901,-3.6928901,40.4414845,361,2020-07-02T00:00:00Z,2020/6/01
8,135,135,354,16646,16646,40.4414845,-3.6928901,-3.6928901,40.4414845,330,2020-07-02T00:00:00Z,2020/6/01
9,135,135,354,17667,17667,40.4414845,-3.6928901,-3.6928901,40.4414845,6939,2020-07-02T05:00:00Z,2020/6/01
10,135,135,354,20096,20096,40.4414845,-3.6928901,-3.6928901,40.4414845,3628,2020-07-02T08:00:00Z,2020/6/01
11,135,135,354,20711,20711,40.4414845,-3.6928901,-3.6928901,40.4414845,3961,2020-07-02T09:00:00Z,2020/6/01
12,135,135,354,20712,20712,40.4414845,-3.6928901,-3.6928901,40.4414845,4040,2020-07-02T09:00:00Z,2020/6/01
13,135,135,354,20714,20714,40.4414845,-3.6928901,-3.6928901,40.4414845,5326,2020-07-02T09:00:00Z,2020/6/01
14,135,135,354,23692,23692,40.4414845,-3.6928901,-3.6928901,40.4414845,12,2020-07-02T13:00:00Z,2020/6/01
15,135,135,354,24206,24206,40.4414845,-3.6928901,-3.6928901,40.4414845,12,2020-07-02T14:00:00Z,2020/6/01
16,135,135,354,29740,29740,40.4414845,-3.6928901,-3.6928901,40.4414845,6844,2020-07-02T18:00:00Z,2020/6/01
17,135,135,354,29741,29741,40.4414845,-3.6928901,-3.6928901,40.4414845,6719,2020-07-02T18:00:00Z,2020/6/01
18,135,135,354,30726,30726,40.4414845,-3.6928901,-3.6928901,40.4414845,5189,2020-07-02T19:00:00Z,2020/6/01
19,135,135,354,31034,31034,40.4414845,-3.6928901,-3.6928901,40.4414845,558,2020-07-02T20:00:00Z,2020/6/01
20,135,135,354,38144,38144,40.4414845,-3.6928901,-3.6928901,40.4414845,416,2020-07-03T11:00:00Z,2020/6/01
21,135,135,354,43983,43983,40.4414845,-3.6928901,-3.6928901,40.4414845,2772,2020-07-03T17:00:00Z,2020/6/01
22,135,135,354,45665,45665,40.4414845,-3.6928901,-3.6928901,40.4414845,4299,2020-07-03T18:00:00Z,2020/6/01
23,135,135,354,46057,46057,40.4414845,-3.6928901,-3.6928901,40.4414845,1019,2020-07-03T19:00:00Z,2020/6/01
24,135,135,354,48862,48862,40.4414845,-3.6928901,-3.6928901,40.4414845,2534,2020-07-03T23:00:00Z,2020/6/01
25,135,135,354,51153,51153,40.4414845,-3.6928901,-3.6928901,40.4414845,2237,2020-07-04T08:00:00Z,2020/6/01
26,135,135,354,53070,53070,40.4414845,-3.6928901,-3.6928901,40.4414845,2740,2020-07-04T11:00:00Z,2020/6/01
27,135,135,354,62371,62371,40.4414845,-3.6928901,-3.6928901,40.4414845,7414,2020-07-05T06:00:00Z,2020/6/01
28,135,135,354,63944,63944,40.4414845,-3.6928901,-3.6928901,40.4414845,5204,2020-07-05T10:00:00Z,2020/6/01
29,135,135,354,63945,63945,40.4414845,-3.6928901,-3.6928901,40.4414845,5102,2020-07-05T10:00:00Z,2020/6/01
30,135,135,354,67432,67432,40.4414845,-3.6928901,-3.6928901,40.4414845,2716,2020-07-05T17:00:00Z,2020/6/01
31,135,135,354,67434,67434,40.4414845,-3.6928901,-3.6928901,40.4414845,2698,2020-07-05T17:00:00Z,2020/6/01
32,135,135,354,67436,67436,40.4414845,-3.6928901,-3.6928901,40.4414845,2720,2020-07-05T17:00:00Z,2020/6/01
33,135,135,354,68515,68515,40.4414845,-3.6928901,-3.6928901,40.4414845,4507,2020-07-05T18:00:00Z,2020/6/01
34,135,135,354,72965,72965,40.4414845,-3.6928901,-3.6928901,40.4414845,4741,2020-07-06T06:00:00Z,2020/6/01
35,135,135,354,75082,75082,40.4414845,-3.6928901,-3.6928901,40.4414845,935,2020-07-06T10:00:00Z,2020/6/01
36,135,135,354,75266,75266,40.4414845,-3.6928901,-3.6928901,40.4414845,4176,2020-07-06T10:00:00Z,2020/6/01
37,135,135,354,75267,75267,40.4414845,-3.6928901,-3.6928901,40.4414845,4166,2020-07-06T10:00:00Z,2020/6/01
38,135,135,354,79233,79233,40.4414845,-3.6928901,-3.6928901,40.4414845,581,2020-07-06T16:00:00Z,2020/6/01
39,135,135,354,80140,80140,40.4414845,-3.6928901,-3.6928901,40.4414845,4598,2020-07-06T16:00:00Z,2020/6/01
40,135,135,354,80141,80141,40.4414845,-3.6928901,-3.6928901,40.4414845,4639,2020-07-06T16:00:00Z,2020/6/01
41,135,135,354,80969,80969,40.4414845,-3.6928901,-3.6928901,40.4414845,2893,2020-07-06T17:00:00Z,2020/6/01
42,135,135,354,85152,85152,40.4414845,-3.6928901,-3.6928901,40.4414845,9,2020-07-06T23:00:00Z,2020/6/01
43,135,135,354,85154,85154,40.4414845,-3.6928901,-3.6928901,40.4414845,7,2020-07-06T23:00:00Z,2020/6/01
44,135,135,354,85155,85155,40.4414845,-3.6928901,-3.6928901,40.4414845,9,2020-07-06T23:00:00Z,2020/6/01
45,135,135,354,85159,85159,40.4414845,-3.6928901,-3.6928901,40.4414845,17,2020-07-06T23:00:00Z,2020/6/01
46,135,135,354,85165,85165,40.4414845,-3.6928901,-3.6928901,40.4414845,18,2020-07-06T23:00:00Z,2020/6/01
47,135,135,354,88631,88631,40.4414845,-3.6928901,-3.6928901,40.4414845,1709,2020-07-07T08:00:00Z,2020/6/01
48,135,135,354,89217,89217,40.4414845,-3.6928901,-3.6928901,40.4414845,4040,2020-07-07T09:00:00Z,2020/6/01
