,start_station,end_station,size,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,index
50,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,551,2021-04-19T12:00:00Z,157258
51,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,699,2021-04-27T09:00:00Z,162867
52,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,611,2021-04-08T12:00:00Z,163763
53,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,488,2021-04-17T20:00:00Z,164612
54,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,805,2021-04-17T12:00:00Z,169583
55,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,534,2021-04-23T21:00:00Z,170197
56,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,906,2021-04-17T16:00:00Z,172129
57,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,756,2021-04-19T07:00:00Z,174613
58,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,527,2021-04-10T14:00:00Z,176405
59,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,787,2021-04-13T17:00:00Z,181764
60,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,458,2021-04-15T06:00:00Z,184386
61,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,650,2021-04-05T16:00:00Z,188536
62,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,722,2021-04-07T07:00:00Z,188696
63,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,541,2021-04-22T15:00:00Z,190043
64,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,607,2021-04-28T14:00:00Z,190508
65,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,716,2021-04-14T06:00:00Z,201788
66,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,564,2021-04-29T14:00:00Z,205589
67,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,518,2021-04-16T14:00:00Z,206992
68,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,703,2021-04-12T07:00:00Z,211481
69,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,739,2021-04-28T20:00:00Z,212858
70,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,648,2021-04-26T07:00:00Z,217620
71,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,688,2021-04-07T18:00:00Z,221030
72,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,623,2021-04-04T15:00:00Z,225619
73,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,559,2021-04-19T12:00:00Z,227006
74,9,149,113,40.4156134,-3.7094093,-3.6878512,40.4498448,594,2021-04-30T10:00:00Z,227938
