TIPOLOGIA,TIPO DE VIA,CICLO/MIXTA,LONGITUD
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1184.274527
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1408.004099
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1637.208778
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1255.731111
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,627.8565951
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,636.0603727
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,888.2203267
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,882.4839367
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1042.148018
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1035.389711
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,213.4670161
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,93.93042939
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,97.88482099
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,126.2691859
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,265.5457596
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,345.8771037
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,187.713092
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,318.4800628
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,509.2985394
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1196.30221
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,PISTA BICI,268.4569739
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,455.1462604
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,314.2188425
,,,
,,,
,,,
,,,
,,,
