MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
7946515;MU-51 Soporte de Bicicletas Universal;01;CENTRO;012;EMBAJADORES;OPERATIVO;24/06/2021;CALLE;SANTA ISABEL;20;11002613;MU-51
7946516;MU-51 Soporte de Bicicletas Universal;01;CENTRO;012;EMBAJADORES;OPERATIVO;24/06/2021;CALLE;SANTA ISABEL;20;11002613;MU-51
7946517;MU-51 Soporte de Bicicletas Universal;01;CENTRO;012;EMBAJADORES;OPERATIVO;24/06/2021;CALLE;SANTA ISABEL;20;11002613;MU-51
7946518;MU-51 Soporte de Bicicletas Universal;01;CENTRO;012;EMBAJADORES;OPERATIVO;24/06/2021;CALLE;SANTA ISABEL;20;11002613;MU-51
7946709;ACB - Aparcabicis carril bicicletas;11;CARABANCHEL;116;BUENAVISTA;OPERATIVO;;CAMINO;CRUCES;2;20078467;ACB
7946708;ACB - Aparcabicis carril bicicletas;11;CARABANCHEL;116;BUENAVISTA;OPERATIVO;;CAMINO;CRUCES;2;20078467;ACB
7946710;ACB - Aparcabicis carril bicicletas;11;CARABANCHEL;116;BUENAVISTA;OPERATIVO;;CALLE;CONSUELO GUZMAN;11;11077625;ACB
7946711;ACB - Aparcabicis carril bicicletas;11;CARABANCHEL;116;BUENAVISTA;OPERATIVO;;CALLE;CONSUELO GUZMAN;11;11077625;ACB
7946816;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;;CALLE;LOMBIA;18;11015545;MU-51
7946817;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;;CALLE;LOMBIA;18;11015545;MU-51
7946818;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;042;GOYA;OPERATIVO;;CALLE;LOMBIA;18;11015545;MU-51
