start_station,end_station,size
90,86,196
90,83,188
90,79,172
160,161,166
78,90,160
128,57,158
175,43,157
161,20,156
9,149,156
79,90,150
220,43,147
43,220,141
20,90,140
132,175,140
207,161,138
90,20,128
90,78,128
175,25,126
58,161,126
135,175,125
161,145,124
135,49,122
175,135,122
90,1,120
106,90,120
177,43,118
172,161,118
80,90,116
43,132,115
90,73,114
