start_station,end_station,size
175,43,100
175,135,94
135,175,90
43,175,86
9,149,83
177,43,82
132,160,73
175,45,71
135,132,70
43,59,70
177,132,69
132,135,68
175,132,68
135,182,67
169,149,66
132,175,66
45,175,66
135,49,65
59,43,65
132,168,64
175,174,64
57,184,59
135,177,58
184,57,57
168,132,57
42,132,56
175,57,56
130,149,55
79,78,55
177,49,55
