start_station,end_station,size
9,149,235
149,9,169
175,27,154
175,43,153
130,149,133
175,45,124
27,41,119
132,43,117
41,27,116
143,139,115
132,175,114
57,43,112
27,175,111
149,130,111
43,175,106
90,73,105
83,108,104
157,130,103
43,13,102
56,175,102
90,86,100
90,79,98
130,157,97
175,56,97
161,145,97
84,90,96
43,132,95
169,149,94
129,43,94
135,57,94
