start_station,end_station,size
9,149,137
42,132,118
135,49,109
49,135,96
132,42,95
149,9,91
157,130,91
135,182,85
57,220,85
132,175,83
175,46,83
90,86,82
135,177,82
175,132,81
57,38,81
90,78,81
46,175,81
168,210,80
129,175,80
157,9,80
175,174,77
38,175,77
129,48,77
135,175,75
129,57,75
175,38,74
41,37,74
138,155,73
57,135,73
220,135,72
