start_station,end_station,size
90,79,252
78,90,174
161,20,172
175,43,171
90,86,170
79,90,168
90,80,168
9,149,160
58,161,156
175,174,153
128,57,150
160,161,150
90,1,148
73,90,146
132,175,141
90,171,140
169,149,140
43,220,140
180,128,138
57,43,137
128,135,134
136,128,134
135,128,134
163,149,134
172,161,130
90,78,130
111,80,128
220,43,128
207,161,128
175,132,127
