Unnamed: 0,TIPOLOGIA,TIPO DE VIA,CICLO/MIXTA,LONGITUD
196,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,636.0603727
205,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,888.2203267
214,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,882.4839367
223,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1042.148018
232,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1035.389711
241,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,213.4670161
250,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,93.93042939
259,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,97.88482099
268,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,126.2691859
277,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,265.5457596
286,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,345.8771037
295,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,187.713092
304,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,318.4800628
313,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,509.2985394
322,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1196.30221
331,VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,PISTA BICI,268.4569739
340,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,455.1462604
349,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,314.2188425
358,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,717.0967676
367,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,228.5015332
376,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,237.1501072
385,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,142.7219035
394,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,335.7242745
403,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,273.5579294
412,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,296.1802837
421,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,69.4465872
430,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,292.555866
439,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,276.4097642
448,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,326.1543509
457,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,78.98806801
466,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,134.8743941
475,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,142.6394287
484,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,122.9107052
493,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,267.8053164
502,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,354.8700757
511,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,178.9825965
520,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,618.6905199
529,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,615.916185
538,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,475.598637
547,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,498.8195993
556,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,479.5492121
565,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,444.9731895
574,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,297.261689
583,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,306.6612753
592,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,399.9925543
601,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,989.8975026
610,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,986.9052113
619,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,697.8720133
628,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1203.707822
637,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,4003.806366
646,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,280.9604436
655,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1154.972953
664,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1255.591903
673,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1269.430673
682,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,639.7981559
691,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,301.7340838
700,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,169.6730139
709,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1039.788206
718,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,72.02549374
727,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,641.0397939
736,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,408.6010667
745,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,451.6600476
754,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,155.095133
763,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,118.4409814
772,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,210.9683278
781,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,350.8939711
790,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,177.9853744
799,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,91.65870833
808,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,667.0083242
817,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,502.9359794
826,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,163.8720313
835,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,223.2726468
844,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,340.5222156
853,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,57.779179
