start_station,end_station,size
9,149,106
175,43,93
43,220,88
135,49,83
43,17,82
135,220,81
129,48,76
220,43,76
157,130,75
149,9,75
175,38,74
38,175,73
79,189,71
49,129,69
220,135,69
19,55,68
17,43,68
43,13,67
189,79,67
208,160,67
175,46,66
43,175,65
46,135,64
86,90,64
27,175,64
9,157,64
42,132,63
160,208,63
57,220,62
90,86,62
