start_station,end_station,size
175,43,105
217,216,104
175,132,96
43,175,94
132,175,91
175,45,91
149,212,89
53,57,88
177,49,87
212,149,86
135,49,84
59,43,84
43,59,81
172,205,80
163,208,78
216,217,77
134,50,75
177,43,75
184,57,75
57,184,74
175,174,74
87,77,73
160,13,73
19,55,73
49,185,73
49,43,72
205,172,72
9,149,72
135,177,70
46,45,69
