,index,start_station,start_station_Latitud,start_station_Longitud,end_station,end_station_Longitud,end_station_Latitud,travel_time,hour_time
54,54,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,5,2020-04-20T15:00:00Z
55,55,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,5,2020-04-20T15:00:00Z
56,56,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,5,2020-04-20T15:00:00Z
57,57,59,40.4254802,-3.7041167,59,-3.7041167,40.4254802,5,2020-04-20T15:00:00Z
58,58,18,40.4209206,-3.6995679,18,-3.6995679,40.4209206,14,2020-04-20T16:00:00Z
59,59,18,40.4209206,-3.6995679,18,-3.6995679,40.4209206,19,2020-04-20T16:00:00Z
60,60,18,40.4209206,-3.6995679,18,-3.6995679,40.4209206,4,2020-04-20T16:00:00Z
61,61,18,40.4209206,-3.6995679,18,-3.6995679,40.4209206,3,2020-04-20T16:00:00Z
62,62,219,40.4083961,-3.6467783,219,-3.6467783,40.4083961,22,2020-04-20T16:00:00Z
63,63,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,14,2020-04-20T16:00:00Z
64,64,219,40.4083961,-3.6467783,219,-3.6467783,40.4083961,5,2020-04-20T16:00:00Z
65,65,219,40.4083961,-3.6467783,219,-3.6467783,40.4083961,6,2020-04-20T16:00:00Z
66,66,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,8,2020-04-20T16:00:00Z
67,67,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,13,2020-04-20T16:00:00Z
68,68,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,6,2020-04-20T16:00:00Z
69,69,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,14,2020-04-20T16:00:00Z
70,70,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,9,2020-04-20T16:00:00Z
71,71,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,18,2020-04-20T16:00:00Z
72,72,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,6,2020-04-20T16:00:00Z
73,73,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,19,2020-04-20T16:00:00Z
74,74,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,17,2020-04-20T16:00:00Z
75,75,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,50,2020-04-20T16:00:00Z
76,76,126,40.4345672,-3.7017424,126,-3.7017424,40.4345672,26,2020-04-20T16:00:00Z
