,start_station,end_station,size,Unnamed: 0,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,index
47,9,149,129,123196,40.4156134,-3.7094093,-3.6878512,40.4498448,518,2021-03-03T15:00:00Z,123196
48,9,149,129,123829,40.4156134,-3.7094093,-3.6878512,40.4498448,596,2021-03-10T19:00:00Z,123829
49,9,149,129,123959,40.4156134,-3.7094093,-3.6878512,40.4498448,501,2021-03-12T08:00:00Z,123959
50,9,149,129,129001,40.4156134,-3.7094093,-3.6878512,40.4498448,632,2021-03-09T12:00:00Z,129001
51,9,149,129,129057,40.4156134,-3.7094093,-3.6878512,40.4498448,694,2021-03-10T08:00:00Z,129057
52,9,149,129,130063,40.4156134,-3.7094093,-3.6878512,40.4498448,555,2021-03-22T08:00:00Z,130063
53,9,149,129,134497,40.4156134,-3.7094093,-3.6878512,40.4498448,887,2021-03-11T19:00:00Z,134497
54,9,149,129,136790,40.4156134,-3.7094093,-3.6878512,40.4498448,654,2021-03-08T10:00:00Z,136790
55,9,149,129,137297,40.4156134,-3.7094093,-3.6878512,40.4498448,599,2021-03-13T22:00:00Z,137297
56,9,149,129,141146,40.4156134,-3.7094093,-3.6878512,40.4498448,667,2021-03-29T14:00:00Z,141146
57,9,149,129,141431,40.4156134,-3.7094093,-3.6878512,40.4498448,774,2021-03-02T13:00:00Z,141431
58,9,149,129,143390,40.4156134,-3.7094093,-3.6878512,40.4498448,598,2021-03-24T20:00:00Z,143390
59,9,149,129,145565,40.4156134,-3.7094093,-3.6878512,40.4498448,450,2021-03-19T14:00:00Z,145565
60,9,149,129,146234,40.4156134,-3.7094093,-3.6878512,40.4498448,623,2021-03-27T10:00:00Z,146234
61,9,149,129,148160,40.4156134,-3.7094093,-3.6878512,40.4498448,593,2021-03-18T13:00:00Z,148160
62,9,149,129,149086,40.4156134,-3.7094093,-3.6878512,40.4498448,775,2021-03-29T12:00:00Z,149086
63,9,149,129,160198,40.4156134,-3.7094093,-3.6878512,40.4498448,650,2021-03-05T08:00:00Z,160198
64,9,149,129,171078,40.4156134,-3.7094093,-3.6878512,40.4498448,740,2021-03-08T16:00:00Z,171078
65,9,149,129,171966,40.4156134,-3.7094093,-3.6878512,40.4498448,721,2021-03-18T16:00:00Z,171966
66,9,149,129,176777,40.4156134,-3.7094093,-3.6878512,40.4498448,848,2021-03-13T11:00:00Z,176777
67,9,149,129,182489,40.4156134,-3.7094093,-3.6878512,40.4498448,477,2021-03-17T16:00:00Z,182489
68,9,149,129,184456,40.4156134,-3.7094093,-3.6878512,40.4498448,842,2021-03-10T18:00:00Z,184456
69,9,149,129,187095,40.4156134,-3.7094093,-3.6878512,40.4498448,663,2021-03-10T13:00:00Z,187095
70,9,149,129,190130,40.4156134,-3.7094093,-3.6878512,40.4498448,619,2021-03-13T22:00:00Z,190130
71,9,149,129,195262,40.4156134,-3.7094093,-3.6878512,40.4498448,589,2021-03-11T12:00:00Z,195262
72,9,149,129,195474,40.4156134,-3.7094093,-3.6878512,40.4498448,684,2021-03-13T11:00:00Z,195474
73,9,149,129,206226,40.4156134,-3.7094093,-3.6878512,40.4498448,676,2021-03-15T12:00:00Z,206226
74,9,149,129,213044,40.4156134,-3.7094093,-3.6878512,40.4498448,578,2021-03-01T17:00:00Z,213044
75,9,149,129,215395,40.4156134,-3.7094093,-3.6878512,40.4498448,534,2021-03-27T17:00:00Z,215395
76,9,149,129,216926,40.4156134,-3.7094093,-3.6878512,40.4498448,690,2021-03-15T17:00:00Z,216926
77,9,149,129,220915,40.4156134,-3.7094093,-3.6878512,40.4498448,711,2021-03-31T21:00:00Z,220915
78,9,149,129,222164,40.4156134,-3.7094093,-3.6878512,40.4498448,489,2021-03-16T09:00:00Z,222164
79,9,149,129,229047,40.4156134,-3.7094093,-3.6878512,40.4498448,572,2021-03-03T19:00:00Z,229047
80,9,149,129,229307,40.4156134,-3.7094093,-3.6878512,40.4498448,1111,2021-03-06T22:00:00Z,229307
81,9,149,129,229393,40.4156134,-3.7094093,-3.6878512,40.4498448,525,2021-03-08T11:00:00Z,229393
82,9,149,129,229807,40.4156134,-3.7094093,-3.6878512,40.4498448,800,2021-03-12T15:00:00Z,229807
83,9,149,129,230436,40.4156134,-3.7094093,-3.6878512,40.4498448,964,2021-03-19T18:00:00Z,230436
84,9,149,129,230701,40.4156134,-3.7094093,-3.6878512,40.4498448,815,2021-03-23T06:00:00Z,230701
85,9,149,129,235275,40.4156134,-3.7094093,-3.6878512,40.4498448,7007,2021-03-15T14:00:00Z,235275
86,9,149,129,237441,40.4156134,-3.7094093,-3.6878512,40.4498448,838,2021-03-10T16:00:00Z,237441
87,9,149,129,242363,40.4156134,-3.7094093,-3.6878512,40.4498448,710,2021-03-05T13:00:00Z,242363
88,9,149,129,243233,40.4156134,-3.7094093,-3.6878512,40.4498448,495,2021-03-15T14:00:00Z,243233
89,9,149,129,243717,40.4156134,-3.7094093,-3.6878512,40.4498448,575,2021-03-20T22:00:00Z,243717
90,9,149,129,243888,40.4156134,-3.7094093,-3.6878512,40.4498448,595,2021-03-23T12:00:00Z,243888
91,9,149,129,246062,40.4156134,-3.7094093,-3.6878512,40.4498448,546,2021-03-17T18:00:00Z,246062
92,9,149,129,247151,40.4156134,-3.7094093,-3.6878512,40.4498448,795,2021-03-30T15:00:00Z,247151
93,9,149,129,250984,40.4156134,-3.7094093,-3.6878512,40.4498448,638,2021-03-13T15:00:00Z,250984
94,9,149,129,250996,40.4156134,-3.7094093,-3.6878512,40.4498448,876,2021-03-13T17:00:00Z,250996
95,9,149,129,251709,40.4156134,-3.7094093,-3.6878512,40.4498448,449,2021-03-22T13:00:00Z,251709
96,9,149,129,263998,40.4156134,-3.7094093,-3.6878512,40.4498448,547,2021-03-09T15:00:00Z,263998
